pointid,ph_cacl2,ph_h20,ec,oc,caco3,p,n,k
45642800,1,1,2,0,3,0,0,1
45682752,4,0,4,4,0,1,2,1
45682788,0,4,2,1,3,4,1,1
45702780,0,4,2,2,0,0,4,1
45722786,2,2,2,4,0,1,2,1
45742754,2,0,2,4,3,1,2,1
45762794,2,0,2,0,0,0,0,1
45782760,1,1,4,1,0,0,3,3
45822828,0,4,2,1,0,4,1,1
45822832,3,3,0,0,3,4,0,1
45842754,2,2,0,0,3,1,2,1
45842800,1,1,2,0,3,4,0,1
45842808,2,2,2,0,0,1,0,1
45902738,0,4,2,3,0,0,3,0
45902768,1,1,4,0,3,0,2,3
45922802,3,3,2,0,3,4,2,1
45962734,1,3,2,4,0,1,0,0
45962820,4,2,0,4,0,1,2,0
45982782,0,4,2,2,0,4,4,1
46002792,1,1,4,4,3,1,2,1
46042842,2,2,0,0,0,1,0,1
46082830,2,2,2,0,0,0,0,0
46102852,4,4,2,4,0,4,2,1
46142788,3,1,2,0,3,0,0,0
46182828,2,0,0,0,0,1,2,1
46202782,3,3,2,0,3,4,0,1
46202812,3,3,2,0,3,4,0,1
46222770,2,2,0,0,0,4,0,1
46222796,1,1,4,0,3,0,2,1
46242762,1,1,2,4,3,1,2,0
46262776,3,3,0,0,3,4,0,1
46262786,0,4,0,4,3,4,2,1
46322834,2,2,0,0,0,1,2,0
46342786,1,1,2,0,0,0,0,1
46382834,2,2,0,0,3,1,2,0
46422762,3,3,4,2,0,1,4,1
46462834,2,2,0,4,0,1,2,1
46482830,2,2,0,0,0,1,2,1
46502766,1,1,2,4,3,1,2,1
46522836,2,2,0,4,0,1,4,0
46562812,2,2,2,0,0,1,2,1
46582774,1,1,0,4,3,1,2,1
46602762,1,2,2,4,3,1,2,0
46642772,2,2,2,4,0,1,2,0
46642802,1,1,4,4,3,2,2,3
46682824,0,4,0,2,3,4,4,1
46742758,2,0,2,0,0,1,2,1
46822808,4,4,4,4,0,0,4,0
46902810,1,1,0,0,0,4,0,1
45102682,2,2,0,0,3,1,0,1
45102684,2,0,2,4,0,4,4,1
45102688,4,0,2,4,0,4,2,1
45122688,2,0,4,4,0,4,2,1
45182728,2,2,0,4,3,1,2,0
45222700,0,4,2,1,3,4,1,0
45242698,0,4,2,1,3,0,1,0
45242722,4,0,2,1,3,4,1,1
45282706,4,0,4,4,0,4,4,1
45342706,2,2,0,0,0,1,2,1
45402772,3,1,2,4,3,4,4,1
45442740,1,1,4,2,3,1,4,1
45442766,0,4,0,4,0,1,2,1
45462760,2,2,0,0,0,4,2,1
45462768,2,2,2,0,0,1,2,1
45482700,0,4,2,4,3,4,2,1
45482768,2,0,2,0,0,4,2,1
45502692,2,0,4,4,0,4,2,1
45502702,2,0,0,0,0,1,0,1
45522750,1,1,4,4,3,4,2,0
45542694,2,0,4,4,0,1,2,1
45562730,2,2,3,4,3,1,4,1
45562732,3,1,4,4,2,1,4,1
45582678,4,0,4,2,0,0,4,0
45582696,3,3,4,4,0,0,2,1
45602672,0,4,2,4,3,0,2,1
45602698,4,4,2,4,0,4,2,1
45602738,2,2,0,4,3,1,4,0
45622768,4,4,4,4,0,1,2,1
45642688,4,4,4,4,0,4,4,0
45642724,3,3,2,4,2,1,2,1
45642750,3,3,4,4,0,1,2,1
45662730,2,2,3,1,3,4,1,0
45782694,2,0,3,4,0,0,4,0
45802718,0,4,0,4,3,1,2,1
45842740,1,2,0,4,3,1,2,1
45882676,4,0,2,2,0,1,4,1
45922694,1,2,4,4,0,4,2,1
46082678,0,4,2,2,0,4,2,1
46122668,4,0,4,2,3,4,4,2
46122678,0,4,0,2,3,1,4,1
43482670,4,0,0,2,3,4,4,1
43562686,1,2,4,1,3,4,1,0
43662688,3,1,4,2,1,1,4,0
43702704,1,1,4,2,3,1,4,0
43782660,0,4,0,4,0,4,2,1
43782700,4,0,0,4,3,1,2,1
43802684,3,1,4,2,0,4,1,1
43802702,3,1,3,2,0,1,4,1
43862700,1,1,3,2,3,4,4,1
43902682,4,0,0,4,3,1,2,1
43962686,3,3,2,4,3,1,2,1
44042690,3,3,2,4,0,1,2,1
44082690,4,0,2,2,0,1,4,1
44102696,1,1,2,2,0,1,2,1
44142686,3,1,4,1,3,4,1,0
44222668,1,1,4,4,3,0,4,1
44282656,1,1,3,1,3,4,3,0
44302680,4,0,2,4,3,4,4,1
44302682,1,2,4,4,0,1,2,1
44382670,1,1,4,4,3,1,4,1
44382684,1,1,4,2,3,0,4,1
44382686,0,4,2,4,0,1,4,1
44402664,4,0,2,4,3,1,2,1
44502714,1,1,3,1,1,4,1,0
44562702,4,0,4,3,3,0,3,0
44582712,1,1,2,4,3,1,2,1
44622708,3,1,2,4,3,1,2,1
44662698,0,4,2,4,3,1,2,1
44782720,1,2,2,2,3,1,4,1
44822704,4,4,2,4,3,1,2,1
44862710,4,0,2,0,0,1,2,1
44862714,2,2,2,4,0,4,2,1
44862732,1,1,4,4,3,4,4,1
44882726,1,2,4,4,0,1,4,1
44922728,2,2,2,4,0,1,2,1
44962698,2,0,4,1,3,4,4,1
45002638,2,2,4,4,0,4,2,0
45102712,2,0,4,4,0,4,4,1
45182714,1,1,4,2,3,1,4,1
45202708,0,0,2,3,3,2,3,3
45242636,4,4,2,2,0,1,2,1
45362638,3,3,2,0,3,1,0,1
42882682,3,1,2,4,0,1,2,1
42942690,2,2,2,4,3,0,4,1
42982676,3,1,4,4,2,4,2,1
43002704,3,3,2,0,2,1,2,1
43122702,4,0,2,0,0,1,2,1
43122714,1,1,4,4,3,1,2,1
43162706,4,0,0,4,0,1,2,1
43202710,0,4,0,4,0,1,2,1
43322692,0,4,0,2,3,4,4,1
43362694,2,2,0,4,0,1,2,1
39303122,1,1,4,4,3,3,2,3
39443132,2,2,0,0,0,0,0,0
39443158,2,2,0,0,0,0,0,1
39543124,4,4,0,0,0,4,0,1
39543150,0,4,0,4,3,4,2,1
39623132,0,4,4,1,3,3,1,1
39683136,0,4,0,0,3,2,0,1
39743134,2,2,2,0,0,0,0,1
39743148,4,4,2,4,3,0,2,1
39783128,2,0,2,0,0,4,2,1
39803126,4,0,0,0,3,4,0,1
